section,object_name,details
00_SUMMARY,database_structure_summary,"{""public_enums"":7,""public_tables"":47,""public_columns"":387,""public_indexes"":105,""public_triggers"":47,""storage_buckets"":1,""public_functions"":43,""public_foreign_keys"":69,""public_rls_policies"":98,""storage_rls_policies"":4}"
01_DATABASE_INFO,postgres,"{""database"":""postgres"",""timezone"":""UTC"",""current_user"":""postgres"",""server_version"":""17.6"",""postgres_version"":""PostgreSQL 17.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit""}"
02_EXTENSION,pg_stat_statements,"{""name"":""pg_stat_statements"",""schema"":""extensions"",""version"":""1.11""}"
02_EXTENSION,pg_trgm,"{""name"":""pg_trgm"",""schema"":""public"",""version"":""1.6""}"
02_EXTENSION,pgcrypto,"{""name"":""pgcrypto"",""schema"":""extensions"",""version"":""1.3""}"
02_EXTENSION,plpgsql,"{""name"":""plpgsql"",""schema"":""pg_catalog"",""version"":""1.0""}"
02_EXTENSION,supabase_vault,"{""name"":""supabase_vault"",""schema"":""vault"",""version"":""0.3.1""}"
02_EXTENSION,uuid-ossp,"{""name"":""uuid-ossp"",""schema"":""extensions"",""version"":""1.1""}"
03_TABLE,auth.users,"{""owner"":""supabase_auth_admin"",""table"":""users"",""schema"":""auth"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.article_categories,"{""owner"":""postgres"",""table"":""article_categories"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.article_category_translations,"{""owner"":""postgres"",""table"":""article_category_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.article_translations,"{""owner"":""postgres"",""table"":""article_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.articles,"{""owner"":""postgres"",""table"":""articles"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.audit_logs,"{""owner"":""postgres"",""table"":""audit_logs"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.certification_translations,"{""owner"":""postgres"",""table"":""certification_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.certifications,"{""owner"":""postgres"",""table"":""certifications"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.coffee_certifications,"{""owner"":""postgres"",""table"":""coffee_certifications"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.coffee_media,"{""owner"":""postgres"",""table"":""coffee_media"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.coffee_offers,"{""owner"":""postgres"",""table"":""coffee_offers"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.coffee_tags,"{""owner"":""postgres"",""table"":""coffee_tags"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.coffee_translations,"{""owner"":""postgres"",""table"":""coffee_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.coffee_type_translations,"{""owner"":""postgres"",""table"":""coffee_type_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.coffee_types,"{""owner"":""postgres"",""table"":""coffee_types"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.coffee_varieties,"{""owner"":""postgres"",""table"":""coffee_varieties"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.coffees,"{""owner"":""postgres"",""table"":""coffees"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.favorites,"{""owner"":""postgres"",""table"":""favorites"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.inquiries,"{""owner"":""postgres"",""table"":""inquiries"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.inquiry_status_history,"{""owner"":""postgres"",""table"":""inquiry_status_history"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.media,"{""owner"":""postgres"",""table"":""media"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.media_translations,"{""owner"":""postgres"",""table"":""media_translations"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.offer_price_tiers,"{""owner"":""postgres"",""table"":""offer_price_tiers"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.offer_sensory_notes,"{""owner"":""postgres"",""table"":""offer_sensory_notes"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
03_TABLE,public.offer_tags,"{""owner"":""postgres"",""table"":""offer_tags"",""schema"":""public"",""rls_forced"":false,""table_type"":""TABLE"",""rls_enabled"":true}"
